SP500,GOLD,IYR
1206.07,1387.1,54.5
1221.53,1384.65,55.24
1224.71,1415.05,55.32
1223.12,1423.55,55.35
1223.75,1401.89,55.53
1228.28,1382.1,54.7
1233,1387.64,54.11
1240.4,1386.05,54.67
1240.46,1393.76,54.81
1241.59,1396.25,54.25
1235.23,1379.8,53.65
1242.87,1369.7,53.79
1243.91,1375.41,54.21
1247.08,1384.65,54.83
1254.6,1385.74,55.43
1258.84,1385,55.22
1256.77,1380.35,55.05
1257.54,1384.1,55.49
1258.51,1406.39,55.71
1259.78,1410.95,55.96
1257.88,1404.45,56.03
1257.64,1421.45,55.96
1271.87,1414.3,56.83
1270.2,1380.6,55.82
1276.56,1377.48,56.05
1273.85,1371.4,55.75
1271.5,1369.6,55.73
1269.75,1375.05,55.71
1274.48,1382.45,55.61
1285.96,1386.5,55.86
1283.76,1374.36,56.02
1293.24,1361.85,56.4
1295.02,1367.76,56.93
1281.92,1370.2,56.25
1280.26,1345.85,56.13
1283.35,1342.51,56.35
1290.84,1334.7,56.63
1291.18,1333.75,57.23
1296.63,1345.89,57.39
1299.54,1311.49,58.19
1276.34,1335.35,57.28
1286.12,1332.19,57.96
1307.59,1340.6,58.23
1304.03,1336.8,58.24
1307.1,1353.2,58.39
1310.87,1349.25,57.86
1319.05,1349.1,58.51
1324.57,1364,58.66
1320.88,1362.95,58.8
1321.87,1362.01,58.99
1329.15,1356.1,59.36
1332.32,1362.31,59.35
1328.01,1373.4,59.15
1336.32,1375.11,59.32
1340.43,1383.67,59.4
1343.01,1387.3,59.63
1315.44,1398.15,59.09
1307.4,1410.45,58.62
1306.1,1400.25,58.3
1319.88,1409.25,59.34
1327.22,1411.65,60.58
1306.33,1433.85,58.95
1308.44,1434.95,58.48
1330.97,1416.4,59.32
1321.15,1429.3,58.81
1310.13,1433.17,58.43
1321.82,1428.89,59.16
1320.02,1429.5,59.19
1295.11,1413.45,58.27
1304.28,1417.4,58.93
1296.39,1428.65,58.53
1281.87,1395.95,58.06
1256.88,1401.3,57.3
1273.72,1404.4,57.78
1279.21,1419.55,58.29
1298.38,1427.05,58.93
