SP500,GOLD,IYR,port_er,port_std,sharpe
0.33,0.48,0.19,0.0600725674340005,0.1105350500735196,0.5434707578640869
0.34,0.48,0.18,0.06078595827162184,0.1105437670836664,0.5498813716526889
0.35,0.47,0.18,0.06168154582290305,0.1105913160447215,0.5577431215119996
0.36,0.46,0.18,0.06257713337418427,0.11068887206188618,0.5653425878185603
0.38,0.46,0.16,0.06400391504942693,0.11090788749305915,0.5770907416610241
0.39,0.46,0.15,0.06471730588704826,0.1110807208627187,0.5826151053433514
0.4,0.45,0.15,0.06561289343832949,0.1112831731129812,0.5896030064825293
0.41,0.44,0.15,0.0665084809896107,0.11153490556404212,0.5963019438019989
0.43,0.44,0.13,0.06793526266485335,0.11207786603451984,0.6061434346361428
0.44,0.43,0.13,0.06883085021613458,0.1124137446696411,0.6122992381262015
0.45,0.43,0.12,0.06954424105375591,0.11276425136072664,0.616722411709077
0.46,0.41,0.13,0.07062202531869702,0.1132292862883577,0.6237081203430531
0.47,0.4,0.13,0.07151761286997824,0.11370791801933136,0.6289589512827032
0.48,0.38,0.14,0.07259539713491935,0.11441076585254928,0.6345154373713319
0.5,0.4,0.1,0.07365778538284222,0.11502845704988825,0.6403440267906626
0.51,0.39,0.1,0.07455337293412345,0.11560102134099629,0.6449196734534745
0.52,0.37,0.11,0.07563115719906456,0.11635493174239886,0.65000388093997
0.53,0.36,0.11,0.07652674475034577,0.11704536852662079,0.6538212123527172
0.55,0.38,0.07,0.07758913299826867,0.11797497107010797,0.6576745244731651
0.56,0.36,0.08,0.07866691726320976,0.11877503562496024,0.662318616443994
0.57,0.35,0.08,0.07956250481449097,0.11954952152705639,0.6655192241525151
0.58,0.33,0.09,0.08064028907943208,0.12056840888191245,0.6688343142888539
0.59,0.32,0.09,0.08153587663071331,0.12145129961801257,0.6713462670812016
0.61,0.34,0.05,0.08259826487863618,0.12249469396788012,0.6743007570621355
0.62,0.32,0.06,0.0836760491435773,0.12354814630852803,0.6772748247846555
0.63,0.31,0.06,0.08457163669485852,0.12450402512266447,0.6792682936277477
0.64,0.29,0.07,0.08564942095979965,0.1257604250628315,0.6810522540537542
0.66,0.32,0.02,0.08652961249406263,0.1268097683387198,0.6823576261328276
0.67,0.3,0.03,0.08760739675900373,0.1279549862791861,0.6846735661231081
0.68,0.29,0.03,0.08850298431028496,0.12901197485673663,0.6860059650165381
0.69,0.27,0.04,0.08958076857522605,0.13034987018893537,0.6872332779877983
0.71,0.29,0.0,0.09064315682314893,0.13177289897694888,0.6878740433494234
0.72,0.28,0.0,0.09153874437443014,0.13288769282518637,0.6888429050751094
0.73,0.26,0.01,0.09261652863937127,0.13424112331643795,0.6899266510237128
0.74,0.25,0.01,0.09351211619065249,0.13544304758023462,0.6904165098268125
0.75,0.23,0.02,0.09458990045559361,0.13697298002500294,0.6905734287034366
0.76,0.21,0.03,0.0956676847205347,0.1386203005757491,0.6901419512379219
0.77,0.2,0.03,0.09656327227181594,0.13995303179210314,0.6899691348970443
0.79,0.21,0.0,0.0978078572333987,0.1415431456204915,0.6910109055767576
0.8,0.2,0.0,0.09870344478467993,0.1428918606315416,0.6907562428569313
0.81,0.19,0.0,0.09959903233596114,0.14426634419613504,0.6903830057587987
0.82,0.17,0.01,0.10067681660090225,0.14607035174795038,0.6892351212696721
0.83,0.16,0.01,0.10157240415218347,0.14751386321866303,0.688561752339307
0.84,0.14,0.02,0.10265018841712459,0.14946353156538494,0.6867908669227369
0.85,0.13,0.02,0.1035457759684058,0.15097098197624592,0.6858654200493834
0.87,0.13,0.0,0.10497255764364846,0.15301459192967454,0.6860297199099404
0.88,0.12,0.0,0.10586814519492968,0.15454988472656137,0.6850095383910364
0.89,0.11,0.0,0.1067637327462109,0.15610554399173507,0.683920186408392
0.9,0.1,0.0,0.10765932029749213,0.15768096692781663,0.6827667434762531
0.91,0.09,0.0,0.10855490784877335,0.1592755670779433,0.6815540502558737
0.92,0.07,0.01,0.10963269211371447,0.1614705256256511,0.678964112421879
0.93,0.06,0.01,0.11052827966499569,0.16311728152309288,0.677600059496749
0.94,0.04,0.02,0.1116060639299368,0.1654282616228488,0.6746493182911008
0.95,0.03,0.02,0.112501651481218,0.16712308212263283,0.673166447460954
0.97,0.03,0.0,0.11392843315646066,0.1692150754693566,0.6732759054738721
0.98,0.02,0.0,0.11482402070774188,0.17092883898109193,0.6717650537627747
0.99,0.01,0.0,0.11571960825902311,0.17265765750502232,0.6702257515317965
